     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.031,pymatching,da5a7feaba3c0ec744a44d99e6c99ddb664356f21f029233eaae22c4af28e214,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0005,""params"":{""after_clifford1_depolarization"":5e-05,""after_clifford2_depolarization"":0.0005,""after_reset_flip_probability"":0.0015,""before_measure_flip_probability"":0.0035,""before_round_data_bias_probability"":[5e-05,100],""distance"":5,""nswaps"":100,""pswap_depolarization"":5e-05,""rounds"":15}}",
         1,         0,         0,   0.016,pymatching,077dffc982f3ffb3bd70f280caa5a999b137ef2bfb23d4b7b9ad021fc4855620,"{""d"":5,""eta"":100,""memory"":""H"",""p"":0.0008,""params"":{""after_clifford1_depolarization"":8e-05,""after_clifford2_depolarization"":0.0008,""after_reset_flip_probability"":0.0024000000000000002,""before_measure_flip_probability"":0.0056,""before_round_data_bias_probability"":[8e-05,100],""distance"":5,""nswaps"":100,""pswap_depolarization"":8e-05,""rounds"":15}}",
        16,         4,         0,   0.032,pymatching,da5a7feaba3c0ec744a44d99e6c99ddb664356f21f029233eaae22c4af28e214,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0005,""params"":{""after_clifford1_depolarization"":5e-05,""after_clifford2_depolarization"":0.0005,""after_reset_flip_probability"":0.0015,""before_measure_flip_probability"":0.0035,""before_round_data_bias_probability"":[5e-05,100],""distance"":5,""nswaps"":100,""pswap_depolarization"":5e-05,""rounds"":15}}",
         1,         0,         0,   0.047,pymatching,259f7fb23ccb60833b339b6c51b497b810101ffb9aee2b36caaf5688addaed16,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0008,""params"":{""after_clifford1_depolarization"":8e-05,""after_clifford2_depolarization"":0.0008,""after_reset_flip_probability"":0.0024000000000000002,""before_measure_flip_probability"":0.0056,""before_round_data_bias_probability"":[8e-05,100],""distance"":5,""nswaps"":100,""pswap_depolarization"":8e-05,""rounds"":15}}",
         1,         0,         0,   0.032,pymatching,4ecaf199b83abd533b0c3e97cc75d1109f0c032114050116f700378a594b2d1d,"{""d"":5,""eta"":100,""memory"":""H"",""p"":0.0005,""params"":{""after_clifford1_depolarization"":5e-05,""after_clifford2_depolarization"":0.0005,""after_reset_flip_probability"":0.0015,""before_measure_flip_probability"":0.0035,""before_round_data_bias_probability"":[5e-05,100],""distance"":5,""nswaps"":100,""pswap_depolarization"":5e-05,""rounds"":15}}",
         1,         0,         0,   0.032,pymatching,24168ebbc23a7f788f13d6e41ff47883246a73faf69bef28dbb063213543e140,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0011,""params"":{""after_clifford1_depolarization"":0.00011,""after_clifford2_depolarization"":0.0011,""after_reset_flip_probability"":0.0033,""before_measure_flip_probability"":0.0077,""before_round_data_bias_probability"":[0.00011,100],""distance"":5,""nswaps"":100,""pswap_depolarization"":0.00011,""rounds"":15}}",
         1,         1,         0,   0.032,pymatching,ed6b8a5262538bf76b1778c9c6fd6c3b7a963f37a303c71312684b939f91783e,"{""d"":5,""eta"":100,""memory"":""H"",""p"":0.0011,""params"":{""after_clifford1_depolarization"":0.00011,""after_clifford2_depolarization"":0.0011,""after_reset_flip_probability"":0.0033,""before_measure_flip_probability"":0.0077,""before_round_data_bias_probability"":[0.00011,100],""distance"":5,""nswaps"":100,""pswap_depolarization"":0.00011,""rounds"":15}}",
        16,         5,         0,   0.031,pymatching,077dffc982f3ffb3bd70f280caa5a999b137ef2bfb23d4b7b9ad021fc4855620,"{""d"":5,""eta"":100,""memory"":""H"",""p"":0.0008,""params"":{""after_clifford1_depolarization"":8e-05,""after_clifford2_depolarization"":0.0008,""after_reset_flip_probability"":0.0024000000000000002,""before_measure_flip_probability"":0.0056,""before_round_data_bias_probability"":[8e-05,100],""distance"":5,""nswaps"":100,""pswap_depolarization"":8e-05,""rounds"":15}}",
        16,         4,         0,   0.015,pymatching,4ecaf199b83abd533b0c3e97cc75d1109f0c032114050116f700378a594b2d1d,"{""d"":5,""eta"":100,""memory"":""H"",""p"":0.0005,""params"":{""after_clifford1_depolarization"":5e-05,""after_clifford2_depolarization"":0.0005,""after_reset_flip_probability"":0.0015,""before_measure_flip_probability"":0.0035,""before_round_data_bias_probability"":[5e-05,100],""distance"":5,""nswaps"":100,""pswap_depolarization"":5e-05,""rounds"":15}}",
        16,        12,         0,   0.031,pymatching,24168ebbc23a7f788f13d6e41ff47883246a73faf69bef28dbb063213543e140,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0011,""params"":{""after_clifford1_depolarization"":0.00011,""after_clifford2_depolarization"":0.0011,""after_reset_flip_probability"":0.0033,""before_measure_flip_probability"":0.0077,""before_round_data_bias_probability"":[0.00011,100],""distance"":5,""nswaps"":100,""pswap_depolarization"":0.00011,""rounds"":15}}",
