     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,        38,         0,   0.016,pymatching,bb3fec71e353faca85959e37b827571d0ee66c0a9fa80874f5c9b8b583f1b271,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0025,""params"":{""after_clifford1_depolarization"":0.00025,""after_clifford2_depolarization"":0.0025,""after_reset_flip_probability"":0.0075,""before_measure_flip_probability"":0.0175,""before_round_data_bias_probability"":[0.00025,100],""distance"":5,""nswaps"":10,""pswap_depolarization"":0.00025,""rounds"":15}}",
         1,         0,         0,   0.015,pymatching,2ded5eef6cc2e7e7ef76094b5d4f9ab6a00d8f5e75e2203208147a524702f503,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.0023,""params"":{""after_clifford1_depolarization"":0.00023,""after_clifford2_depolarization"":0.0023,""after_reset_flip_probability"":0.0069,""before_measure_flip_probability"":0.0161,""before_round_data_bias_probability"":[0.00023,100],""distance"":9,""nswaps"":10,""pswap_depolarization"":0.00023,""rounds"":27}}",
         1,         1,         0,   0.015,pymatching,24ac4ddf09c08fc92540d983d2ecb84bd0e5464b4b3284df342a6c8455e808dd,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.0026,""params"":{""after_clifford1_depolarization"":0.00026,""after_clifford2_depolarization"":0.0026,""after_reset_flip_probability"":0.0078,""before_measure_flip_probability"":0.0182,""before_round_data_bias_probability"":[0.00026,100],""distance"":9,""nswaps"":10,""pswap_depolarization"":0.00026,""rounds"":27}}",
        17,         4,         0,   0.015,pymatching,15362ca92ca84f9778b519fddef4e8210e39be98afd4dadf5f2afc2f67a12aee,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.0024,""params"":{""after_clifford1_depolarization"":0.00023999999999999998,""after_clifford2_depolarization"":0.0024,""after_reset_flip_probability"":0.0072,""before_measure_flip_probability"":0.0168,""before_round_data_bias_probability"":[0.00023999999999999998,100],""distance"":9,""nswaps"":10,""pswap_depolarization"":0.00023999999999999998,""rounds"":27}}",
        17,         4,         0,   0.016,pymatching,0a99bee553335cf26db45268af2d9a43e7d19baeba09afb24b90e62a5f6ab75c,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0024,""params"":{""after_clifford1_depolarization"":0.00023999999999999998,""after_clifford2_depolarization"":0.0024,""after_reset_flip_probability"":0.0072,""before_measure_flip_probability"":0.0168,""before_round_data_bias_probability"":[0.00023999999999999998,100],""distance"":5,""nswaps"":10,""pswap_depolarization"":0.00023999999999999998,""rounds"":15}}",
       273,        62,         0,   0.016,pymatching,0666493d1a1f270a649f8fce595499bcdf7efdfa56d8e6d2123aac5bd7a16a92,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0027,""params"":{""after_clifford1_depolarization"":0.00027,""after_clifford2_depolarization"":0.0027,""after_reset_flip_probability"":0.0081,""before_measure_flip_probability"":0.0189,""before_round_data_bias_probability"":[0.00027,100],""distance"":5,""nswaps"":10,""pswap_depolarization"":0.00027,""rounds"":15}}",
       273,        46,         0,   0.016,pymatching,55752277556a83ebadf96022e015de1fc4b343641a6284ffe0616260a98069f2,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0023,""params"":{""after_clifford1_depolarization"":0.00023,""after_clifford2_depolarization"":0.0023,""after_reset_flip_probability"":0.0069,""before_measure_flip_probability"":0.0161,""before_round_data_bias_probability"":[0.00023,100],""distance"":5,""nswaps"":10,""pswap_depolarization"":0.00023,""rounds"":15}}",
      1024,       172,         0,   0.031,pymatching,bb3fec71e353faca85959e37b827571d0ee66c0a9fa80874f5c9b8b583f1b271,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0025,""params"":{""after_clifford1_depolarization"":0.00025,""after_clifford2_depolarization"":0.0025,""after_reset_flip_probability"":0.0075,""before_measure_flip_probability"":0.0175,""before_round_data_bias_probability"":[0.00025,100],""distance"":5,""nswaps"":10,""pswap_depolarization"":0.00025,""rounds"":15}}",
         1,         1,         0,   0.016,pymatching,71d9642aa397d629b5856c697915e07e65e2c6cc8f3e17d32fd8755cb4b419e8,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.0027,""params"":{""after_clifford1_depolarization"":0.00027,""after_clifford2_depolarization"":0.0027,""after_reset_flip_probability"":0.0081,""before_measure_flip_probability"":0.0189,""before_round_data_bias_probability"":[0.00027,100],""distance"":9,""nswaps"":10,""pswap_depolarization"":0.00027,""rounds"":27}}",
       273,        53,         0,   0.016,pymatching,14c6f77f3c37a854d869e1a2c27f20bfed82b5ee9fcc9a0fdef5b794be6a0387,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0026,""params"":{""after_clifford1_depolarization"":0.00026,""after_clifford2_depolarization"":0.0026,""after_reset_flip_probability"":0.0078,""before_measure_flip_probability"":0.0182,""before_round_data_bias_probability"":[0.00026,100],""distance"":5,""nswaps"":10,""pswap_depolarization"":0.00026,""rounds"":15}}",
