     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,         0,         0,   0.016,pymatching,e28b4de7aefc5fb7b24b77887b47a94ab0c0cbc48e22bfae3166a3df31a05608,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":9,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":27}}",
       256,         0,         0,   0.016,pymatching,e28b4de7aefc5fb7b24b77887b47a94ab0c0cbc48e22bfae3166a3df31a05608,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":9,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":27}}",
      1297,         6,         0,   0.016,pymatching,6b75ef27dfe45b7ce3628f2d3210c4a20bc4fd5f2d5d1f990c49a29a9bc1f425,"{""d"":5,""eta"":100,""memory"":""H"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":5,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":15}}",
      2048,         9,         0,   0.015,pymatching,6b75ef27dfe45b7ce3628f2d3210c4a20bc4fd5f2d5d1f990c49a29a9bc1f425,"{""d"":5,""eta"":100,""memory"":""H"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":5,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":15}}",
      1024,         0,         0,   0.031,pymatching,e28b4de7aefc5fb7b24b77887b47a94ab0c0cbc48e22bfae3166a3df31a05608,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":9,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":27}}",
      4096,        22,         0,   0.032,pymatching,6b75ef27dfe45b7ce3628f2d3210c4a20bc4fd5f2d5d1f990c49a29a9bc1f425,"{""d"":5,""eta"":100,""memory"":""H"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":5,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":15}}",
      1024,         2,         0,   0.047,pymatching,e28b4de7aefc5fb7b24b77887b47a94ab0c0cbc48e22bfae3166a3df31a05608,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":9,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":27}}",
      4096,        22,         0,   0.031,pymatching,6b75ef27dfe45b7ce3628f2d3210c4a20bc4fd5f2d5d1f990c49a29a9bc1f425,"{""d"":5,""eta"":100,""memory"":""H"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":5,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":15}}",
      6144,        50,         0,   0.047,pymatching,6b75ef27dfe45b7ce3628f2d3210c4a20bc4fd5f2d5d1f990c49a29a9bc1f425,"{""d"":5,""eta"":100,""memory"":""H"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":5,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":15}}",
      2048,         2,         0,   0.078,pymatching,e28b4de7aefc5fb7b24b77887b47a94ab0c0cbc48e22bfae3166a3df31a05608,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":9,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":27}}",
      7168,        47,         0,   0.062,pymatching,6b75ef27dfe45b7ce3628f2d3210c4a20bc4fd5f2d5d1f990c49a29a9bc1f425,"{""d"":5,""eta"":100,""memory"":""H"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":5,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":15}}",
         1,         0,         0,   0.016,pymatching,7cde57d28e81c238f6cc843faf44418ffa5f39922662591c48e16ffd3392b182,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":5,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":15}}",
      2320,        11,         0,   0.015,pymatching,7cde57d28e81c238f6cc843faf44418ffa5f39922662591c48e16ffd3392b182,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":5,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":15}}",
      2048,         1,         0,   0.078,pymatching,e28b4de7aefc5fb7b24b77887b47a94ab0c0cbc48e22bfae3166a3df31a05608,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":9,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":27}}",
         1,         1,         0,   0.032,pymatching,cee83a544377ac0ef08c4759945f323a5571010ddad6a8a9a03f3c21628a721b,"{""d"":13,""eta"":100,""memory"":""V"",""p"":0.004,""params"":{""after_clifford1_depolarization"":0.0004,""after_clifford2_depolarization"":0.004,""after_reset_flip_probability"":[0.012,0],""before_measure_flip_probability"":[0.028,0],""before_round_data_bias_probability"":[0.0004,100],""distance"":13,""nswaps"":5,""pswap_depolarization"":0.0004,""rounds"":39}}",
      4096,        22,         0,   0.032,pymatching,7cde57d28e81c238f6cc843faf44418ffa5f39922662591c48e16ffd3392b182,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":5,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":15}}",
      9216,        55,         0,   0.078,pymatching,6b75ef27dfe45b7ce3628f2d3210c4a20bc4fd5f2d5d1f990c49a29a9bc1f425,"{""d"":5,""eta"":100,""memory"":""H"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":5,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":15}}",
        16,         5,         0,   0.031,pymatching,cee83a544377ac0ef08c4759945f323a5571010ddad6a8a9a03f3c21628a721b,"{""d"":13,""eta"":100,""memory"":""V"",""p"":0.004,""params"":{""after_clifford1_depolarization"":0.0004,""after_clifford2_depolarization"":0.004,""after_reset_flip_probability"":[0.012,0],""before_measure_flip_probability"":[0.028,0],""before_round_data_bias_probability"":[0.0004,100],""distance"":13,""nswaps"":5,""pswap_depolarization"":0.0004,""rounds"":39}}",
      4096,        25,         0,   0.031,pymatching,7cde57d28e81c238f6cc843faf44418ffa5f39922662591c48e16ffd3392b182,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":5,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":15}}",
         1,         0,         0,   0.016,pymatching,3893dec41f19b671ec30c8415409be66855765a95b953c8a06461ce70e5b3bf8,"{""d"":13,""eta"":100,""memory"":""H"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":13,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":39}}",
         1,         0,         0,   0.047,pymatching,5c67d5d1608453d91edac6ab040eaa247a4a59c7c71cc07f262dc6ae67ac3d26,"{""d"":17,""eta"":100,""memory"":""V"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":17,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":51}}",
        16,         0,         0,   0.016,pymatching,3893dec41f19b671ec30c8415409be66855765a95b953c8a06461ce70e5b3bf8,"{""d"":13,""eta"":100,""memory"":""H"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":13,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":39}}",
        17,         5,         0,   0.015,pymatching,865e15ab55162ba747bf41d5e2576807bd110f2803fe583be712c032b91794f6,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.004,""params"":{""after_clifford1_depolarization"":0.0004,""after_clifford2_depolarization"":0.004,""after_reset_flip_probability"":[0.012,0],""before_measure_flip_probability"":[0.028,0],""before_round_data_bias_probability"":[0.0004,100],""distance"":9,""nswaps"":5,""pswap_depolarization"":0.0004,""rounds"":27}}",
      2048,         0,         0,   0.094,pymatching,e28b4de7aefc5fb7b24b77887b47a94ab0c0cbc48e22bfae3166a3df31a05608,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.001,""params"":{""after_clifford1_depolarization"":0.0001,""after_clifford2_depolarization"":0.001,""after_reset_flip_probability"":[0.003,0],""before_measure_flip_probability"":[0.007,0],""before_round_data_bias_probability"":[0.0001,100],""distance"":9,""nswaps"":5,""pswap_depolarization"":0.0001,""rounds"":27}}",
