     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         1,         0,   0.016,pymatching,3ef7c2ec5bc47a40a50500194f97aefa93cdc9b7c28e856a822bbc2b163750a8,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00051,""params"":{""after_clifford1_depolarization"":5.1000000000000006e-05,""after_clifford2_depolarization"":0.00051,""after_reset_flip_probability"":0.00102,""before_measure_flip_probability"":0.00102,""before_round_data_bias_probability"":[5.1000000000000006e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.00040800000000000005,""rounds"":15}}",
      1296,       162,         0,   0.031,pymatching,3ef7c2ec5bc47a40a50500194f97aefa93cdc9b7c28e856a822bbc2b163750a8,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00051,""params"":{""after_clifford1_depolarization"":5.1000000000000006e-05,""after_clifford2_depolarization"":0.00051,""after_reset_flip_probability"":0.00102,""before_measure_flip_probability"":0.00102,""before_round_data_bias_probability"":[5.1000000000000006e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.00040800000000000005,""rounds"":15}}",
      1024,       160,         0,   0.031,pymatching,3ef7c2ec5bc47a40a50500194f97aefa93cdc9b7c28e856a822bbc2b163750a8,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00051,""params"":{""after_clifford1_depolarization"":5.1000000000000006e-05,""after_clifford2_depolarization"":0.00051,""after_reset_flip_probability"":0.00102,""before_measure_flip_probability"":0.00102,""before_round_data_bias_probability"":[5.1000000000000006e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.00040800000000000005,""rounds"":15}}",
      2048,       311,         0,   0.047,pymatching,3ef7c2ec5bc47a40a50500194f97aefa93cdc9b7c28e856a822bbc2b163750a8,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00051,""params"":{""after_clifford1_depolarization"":5.1000000000000006e-05,""after_clifford2_depolarization"":0.00051,""after_reset_flip_probability"":0.00102,""before_measure_flip_probability"":0.00102,""before_round_data_bias_probability"":[5.1000000000000006e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.00040800000000000005,""rounds"":15}}",
       273,        35,         0,   0.016,pymatching,f5288096c3e3918c67ef432b441555e54de72df1b1ab3e8d04ade796dd530024,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0005,""params"":{""after_clifford1_depolarization"":5e-05,""after_clifford2_depolarization"":0.0005,""after_reset_flip_probability"":0.001,""before_measure_flip_probability"":0.001,""before_round_data_bias_probability"":[5e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.0004,""rounds"":15}}",
       273,        38,         0,   0.015,pymatching,0c441113cdff765feb19cbeb3b8af95fbb5654bf930fdb42a96712f565f5900c,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00052,""params"":{""after_clifford1_depolarization"":5.2e-05,""after_clifford2_depolarization"":0.00052,""after_reset_flip_probability"":0.00104,""before_measure_flip_probability"":0.00104,""before_round_data_bias_probability"":[5.2e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.000416,""rounds"":15}}",
      1024,       129,         0,   0.015,pymatching,f5288096c3e3918c67ef432b441555e54de72df1b1ab3e8d04ade796dd530024,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0005,""params"":{""after_clifford1_depolarization"":5e-05,""after_clifford2_depolarization"":0.0005,""after_reset_flip_probability"":0.001,""before_measure_flip_probability"":0.001,""before_round_data_bias_probability"":[5e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.0004,""rounds"":15}}",
         1,         1,         0,   0.031,pymatching,ef7d1038fe4e935af90262863d276bdbee2b4f5414ecdeda225d36f603b9eca9,"{""d"":13,""eta"":100,""memory"":""V"",""p"":0.00051,""params"":{""after_clifford1_depolarization"":5.1000000000000006e-05,""after_clifford2_depolarization"":0.00051,""after_reset_flip_probability"":0.00102,""before_measure_flip_probability"":0.00102,""before_round_data_bias_probability"":[5.1000000000000006e-05,100],""distance"":13,""nswaps"":[10,9],""pswap_depolarization"":0.00040800000000000005,""rounds"":39}}",
      2048,       288,         0,   0.047,pymatching,3ef7c2ec5bc47a40a50500194f97aefa93cdc9b7c28e856a822bbc2b163750a8,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00051,""params"":{""after_clifford1_depolarization"":5.1000000000000006e-05,""after_clifford2_depolarization"":0.00051,""after_reset_flip_probability"":0.00102,""before_measure_flip_probability"":0.00102,""before_round_data_bias_probability"":[5.1000000000000006e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.00040800000000000005,""rounds"":15}}",
      1024,       174,         0,   0.016,pymatching,0c441113cdff765feb19cbeb3b8af95fbb5654bf930fdb42a96712f565f5900c,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00052,""params"":{""after_clifford1_depolarization"":5.2e-05,""after_clifford2_depolarization"":0.00052,""after_reset_flip_probability"":0.00104,""before_measure_flip_probability"":0.00104,""before_round_data_bias_probability"":[5.2e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.000416,""rounds"":15}}",
      1024,       126,         0,   0.016,pymatching,f5288096c3e3918c67ef432b441555e54de72df1b1ab3e8d04ade796dd530024,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0005,""params"":{""after_clifford1_depolarization"":5e-05,""after_clifford2_depolarization"":0.0005,""after_reset_flip_probability"":0.001,""before_measure_flip_probability"":0.001,""before_round_data_bias_probability"":[5e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.0004,""rounds"":15}}",
         1,         1,         0,   0.015,pymatching,ebd526dea22bc02cba4cc6c8c867d0944ac0a91366a40496d9b7f3b6cc35ef2e,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.0005,""params"":{""after_clifford1_depolarization"":5e-05,""after_clifford2_depolarization"":0.0005,""after_reset_flip_probability"":0.001,""before_measure_flip_probability"":0.001,""before_round_data_bias_probability"":[5e-05,100],""distance"":9,""nswaps"":[10,9],""pswap_depolarization"":0.0004,""rounds"":27}}",
      1024,       158,         0,   0.031,pymatching,0c441113cdff765feb19cbeb3b8af95fbb5654bf930fdb42a96712f565f5900c,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00052,""params"":{""after_clifford1_depolarization"":5.2e-05,""after_clifford2_depolarization"":0.00052,""after_reset_flip_probability"":0.00104,""before_measure_flip_probability"":0.00104,""before_round_data_bias_probability"":[5.2e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.000416,""rounds"":15}}",
        16,         7,         0,   0.031,pymatching,ef7d1038fe4e935af90262863d276bdbee2b4f5414ecdeda225d36f603b9eca9,"{""d"":13,""eta"":100,""memory"":""V"",""p"":0.00051,""params"":{""after_clifford1_depolarization"":5.1000000000000006e-05,""after_clifford2_depolarization"":0.00051,""after_reset_flip_probability"":0.00102,""before_measure_flip_probability"":0.00102,""before_round_data_bias_probability"":[5.1000000000000006e-05,100],""distance"":13,""nswaps"":[10,9],""pswap_depolarization"":0.00040800000000000005,""rounds"":39}}",
